id,name,city,country,continent,region,lon,lat,rank
EAS,San Sebastián,Donostia / San Sebastián,Spain,Europe,Southern Europe,-1.790556,43.356389,728
GZP,Gazipaşa,Gazipaşa,Turkey,Asia,Western Asia,32.290278,36.298056,730
TZL,Tuzla International,Tuzla,Bosnia & Herzegovina,Europe,Southern Europe,18.725556,44.458611,734
PUY,Pula,Pula,Croatia,Europe,Southern Europe,13.922222,44.893611,736
RMI,Federico Fellini International,Rimini,Italy,Europe,Southern Europe,12.609444,44.019444,738
PZU,Port Sudan New International,Port,Sudan,Africa,Northern Africa,37.234167,19.433611,739
EDL,Eldoret International,Eldoret,Kenya,Africa,Eastern Africa,35.238889,0.404722,741
AJA,Ajaccio Napoleon Bonaparte,Ajaccio,France,Europe,Western Europe,8.8025,41.923889,745
MJI,Mitiga International,Tripoli,Libya,Africa,Northern Africa,13.289722,32.893333,746
MMX,Malmö,Malmö,Sweden,Europe,Northern Europe,13.375,55.5425,747
EAM,Najran Regional Airport,Najran,Saudi Arabia,Asia,Western Asia,44.419167,17.611389,749
AOI,Marche Airport,Ancona,Italy,Europe,Southern Europe,13.360278,43.616667,752
ELQ,Prince Nayef bin Abdulaziz Regional,Al-Qassim Region,Saudi Arabia,Asia,Western Asia,43.773889,26.302778,760
INI,Niš Constantine the Great,Niš,Serbia,Europe,Southern Europe,21.853611,43.337222,761
ASM,Asmara International,Asmara,Eritrea,Africa,Eastern Africa,38.910556,15.291944,765
SCO,Aktau,Aktau,Kazakhstan,Asia,Central Asia,51.091944,43.86,768
VGO,Vigo–Peinador,Vigo,Spain,Europe,Southern Europe,-8.626667,42.231667,771
CWL,Cardiff,Cardiff,United Kingdom,Europe,Northern Europe,-3.343333,51.396667,773
GOP,Mahayogi Gorakhnath,Gorakhpur,India,Asia,Southern Asia,83.45,26.741111,774
LDE,Tarbes–Lourdes–Pyrénées,Lourdes,France,Europe,Western Europe,-0.002778,43.185556,775
MYD,Malindi,Malindi,Kenya,Africa,Eastern Africa,40.101667,-3.229167,777
SXB,Strasbourg,Strasbourg,France,Europe,Western Europe,7.634444,48.541944,779
IDR,Devi Ahilya Bai Holkar,Indore,India,Asia,Southern Asia,75.801111,22.721667,780
UGC,Urgench International,Urgench,Uzbekistan,Asia,Central Asia,60.641667,41.584167,781
TPS,Vincenzo Florio Airport Trapani–Birgi,Trapani,Italy,Europe,Southern Europe,12.494167,37.9075,786
ILR,Ilorin International,Ilorin,Nigeria,Africa,Western Africa,4.493889,8.440278,787
LMP,Lampedusa,Lampedusa,Italy,Europe,Southern Europe,12.618333,35.498056,790
